Node	Probability	Latency
P0	0.0		0.0
P1	0.0		0.0
P2	0.008333333333333333		83754.00000040639
P3	0.0		0.0
P4	0.0		0.0
P5	0.01639344262295082		77504.7500003762
P6	0.008771929824561403		85865.40000158611
P7	0.0		0.0
P8	0.0		0.0
P9	0.0		0.0
agen10	0.0		0.0
agen11	0.0		0.0
agen12	0.0		0.0
agen13	0.0		0.0
agen14	0.0		0.0

